wavelength_micron,transmission_delta_chi2_contribution,emission_delta_chi2_contribution,in_methane_window
2.466380638,3.397041416,6.426031432,false
2.537393656,8.971304090,2.787191395,false
2.610373892,0.652200114,0.018174641,false
2.677829892,2.795778963,4.663123697,false
2.752725341,5.580340066,18.567978793,false
2.823326506,2.061596298,12.991433221,false
2.898850480,10.354233064,21.170652456,false
2.970033532,7.415087007,22.560003377,false
3.048364663,-2.178496850,19.119790416,false
3.114376512,-0.482367729,4.059358235,true
3.189086816,4.512580776,0.145765492,true
3.264132786,-0.609960004,-0.478577153,true
3.332876425,18.664660508,9.859451702,true
3.408541313,-3.740018128,-0.627211583,true
3.485758687,9.484919783,11.174618732,true
3.556072043,7.562561094,24.223818865,true
3.626689965,6.890537424,36.020820579,true
3.704413994,1.613160393,12.095231003,false
3.773780465,0.455866951,25.260886756,false
3.846446083,0.012366536,5.149220025,false
3.921667142,0.303970860,4.591979685,false
3.984488828,0.591378884,0.967639911,false
4.046260167,0.053507468,-0.100647945,false
